article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/0801d7de-e506-5ba4-8314-92382cdb9bac,2019/2/16,2019-07,b'Bill de Blasio: The Path Amazon Rejected',https://www.nytimes.com/2019/02/16/opinion/amazon-new-york-bill-de-blasio.html,"The first word I had that Amazon was about to scrap an agreement to bring 25,000 new jobs to New York City came an hour before it broke in the news on Thursday.",0.060606061,0,0,0.03030303,0.03030303,0.060606061,0,0,0.03030303,0
nyt://article/e4f3cad8-76bd-5aed-9f3e-88c69ed453d7,2019/2/19,2019-08,"b'Can a Republican Win a Citywide Race in N.Y.? Maybe, With Amazon\xe2\x80\x99s Help'",https://www.nytimes.com/2019/02/19/nyregion/amazon-public-advocate-election-eric-ulrich.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/297569de-f9bc-5bf8-ae99-2382a4d44979,2019/2/19,2019-08,b'Amazon Resets Its Film Operation After Rough Year at Box Office',https://www.nytimes.com/2019/02/18/business/media/amazon-movies-jennifer-salke.html,"CULVER CITY, Calif. — The film business has chewed up Amazon over the last year and a half.",0,0,0,0,0,0,0,0,0,0
nyt://article/ec189748-7be3-5d2b-92ab-06d89a179c50,2019/2/28,2019-09,"b'Andrew Cuomo Speaks With Jeff Bezos, Hints of \xe2\x80\x98Other Ways\xe2\x80\x99 to Clear Path for Amazon\xe2\x80\x99s Return'",https://www.nytimes.com/2019/02/28/nyregion/amazon-hq2-nyc.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/8adca344-1309-5154-9122-3d3e7f723626,2019/3/4,2019-10,b'Amazon\xe2\x80\x99s Hard Bargain Extends Far Beyond New York',https://www.nytimes.com/2019/03/03/technology/amazon-new-york-politics-jobs.html,"SEATTLE — When Texas officials pushed Amazon to pay nearly $270 million in back sales taxes in 2010, Amazon responded by closing its only warehouse in the state and scrapping expansion plans there. Two years later, the officials agreed to waive the past taxes in exchange for Amazon opening new warehouses.",0.058823529,0,0,0,0,0.058823529,0.019607843,0,0,0.019607843
nyt://article/bbf34474-9b96-5ceb-a2a4-55f1bd500791,2019/3/6,2019-10,"b'Amazon Is Closing Pop-Up Stores, as Its Retail Strategy Evolves'",https://www.nytimes.com/2019/03/06/technology/amazon-pop-up-stores-closing.html,"SEATTLE — Amazon is closing down its dozens of Pop-Up stores in the United States, as it both expands and tries to make sense of its growing retail operations.",0,0,0,0,0,0.034482759,0,0,0,0
nyt://article/6257050c-fcd1-5052-a539-ac0b6ff90d25,2019/3/9,2019-10,b'Are You an Amazon or an Apple Family?',https://www.nytimes.com/2019/03/09/opinion/sunday/10Webb.html,"A few months ago, Amazon invited reporters to its Spheres complex in downtown Seattle. It’s an enormous greenhouse doubling as a work space for employees: a climate-controlled, glass-enclosed, self-contained ecosystem made up of 40,000 species of plants from all over the world. Amazon executives opened the event with a statement worthy of their surroundings: The company had 70 products, services and tools to introduce. Seventy new products?  The journalists in the room responded with gasps and laughter.",0.025974026,0,0,0,0,0.025974026,0,0,0,0
nyt://article/467badae-153f-5348-81d5-355f6f6b251f,2019/3/13,2019-11,b'Amazon Pulls 2 Books That Promote Unscientific Autism \xe2\x80\x98Cures\xe2\x80\x99',https://www.nytimes.com/2019/03/13/technology/amazon-autism-books.html,"Amazon has removed the online listings for two books that claim to contain cures for autism, a move that follows recent efforts by several social media sites to limit the availability of anti-vaccination and other pseudoscientific material.",0,0,0,0,0,0,0,0,0,0
nyt://article/be30c567-103d-5340-9654-c4d388f9369f,2019/3/20,2019-12,b'Amazon and Union at Odds Over Firing of Staten Island Warehouse Worker',https://www.nytimes.com/2019/03/20/business/economy/amazon-warehouse-labor.html,"Amazon’s plan for a major corporate presence in New York ran headlong into concerns about the company’s labor practices in the city. The giant project fell apart, but the labor friction lives on.",0.060606061,0.03030303,0,0.03030303,0.03030303,0.121212121,0.090909091,0.060606061,0.03030303,0.060606061
nyt://article/5abed12e-52dc-55a5-aa77-784b18d2bd5f,2019/4/3,2019-14,b'A.I. Experts Question Amazon\xe2\x80\x99s Facial-Recognition Technology',https://www.nytimes.com/2019/04/03/technology/amazon-facial-recognition-technology.html,"SAN FRANCISCO — At least 25 prominent artificial-intelligence researchers, including experts at Google, Facebook, Microsoft and a recent winner of the prestigious Turing Award, have signed a letter calling on Amazon to stop selling its facial-recognition technology to law enforcement agencies because it is biased against women and people of color.",0.019607843,0,0,0,0,0.058823529,0.039215686,0.019607843,0.039215686,0.019607843
nyt://article/69162d5d-22e3-5ffa-aa41-8005eddfa945,2019/4/10,2019-15,"b'Over 4,200 Amazon Workers Push for Climate Change Action, Including Cutting Some Ties to Big Oil'",https://www.nytimes.com/2019/04/10/technology/amazon-climate-change-letter.html,"SEATTLE — Employees at big tech companies have pushed back against their employers for working with the military and law enforcement offices, and demanded better treatment of women and minorities.",0.033333333,0,0,0,0.033333333,0.033333333,0,0,0.033333333,0
nyt://article/f63a22a5-22a7-50e1-b909-08d099edd92e,2019/4/18,2019-16,b'Amazon Gives Up on Chinese Domestic Shopping Business',https://www.nytimes.com/2019/04/18/technology/amazon-china.html,"SEATTLE — Amazon may dominate online shopping in the United States, but in the world’s second-largest economy it is all but calling it quits.",0.083333333,0.041666667,0,0,0.041666667,0.083333333,0.041666667,0.041666667,0.041666667,0.041666667
nyt://article/f6b7c7c4-4a34-5ad9-9bac-664f7892ba7d,2019/4/18,2019-16,b'Battle for .amazon Domain Pits Retailer Against South American Nations',https://www.nytimes.com/2019/04/18/world/americas/amazon-domain-name.html,"SÃO PAULO, Brazil — Amazon is the world’s biggest online retailer. It is also the world’s largest rain forest.",0,0,0,0,0,0,0,0,0,0
nyt://article/12e74b34-be04-5292-a452-16edbbd2fdc7,2019/4/25,2019-17,b'Amazon Expanding One-Day Prime Shipping as Sales Growth Slows',https://www.nytimes.com/2019/04/25/technology/amazon-earnings-one-day-prime-shipping.html,SEATTLE — Amazon grew into a giant by selling everything under the sun. Its strongest growth lately has been in the cloud.,0,0,0,0,0.045454545,0.045454545,0,0,0,0
nyt://article/ac0a6731-a634-5dcd-b634-e665cee7b817,2019/4/28,2019-17,b'Which Tech Company Is Uber Most Like? Its Answer May Surprise You',https://www.nytimes.com/2019/04/28/technology/uber-amazon-roadshow-ipo.html,"SAN FRANCISCO — Pop quiz: Which technology company does Uber, the ride-hailing giant on the cusp of an initial public offering, consider itself to be the most like?",0,0,0,0,0.035714286,0.071428571,0.035714286,0,0,0
nyt://article/f16d9b95-33b9-506c-b66e-907f9798e9fd,2019/5/8,2019-19,b'3 Muslim Workers at Amazon File Federal Discrimination Complaint',https://www.nytimes.com/2019/05/08/technology/amazon-muslim-workers-complaint.html,"SEATTLE — Three Somali women working for Amazon near Minneapolis have accused the company of creating a hostile environment for Muslim workers and of retaliating against them for protesting their work conditions, according to a filing submitted this week to federal regulators.",0,0.047619048,0.023809524,0,0.047619048,0.023809524,0,0,0.047619048,0
nyt://article/a59d9a9b-8ac2-5197-a6d3-8d1a335f26e4,2019/5/8,2019-19,"b'After a Messy Breakup With New York, Amazon Is Back With a Cashierless Go Store'",https://www.nytimes.com/2019/05/08/nyregion/amazon-go-nyc.html,[What you need to know to start the day: Get New York Today in your inbox.],0,0,0,0,0,0,0.0625,0,0,0
nyt://article/62b29e40-a019-5c1c-ad63-7a5ae236a1ba,2019/5/9,2019-19,"b'Amazon Flunks Children\xe2\x80\x99s Privacy, Advocacy Groups Charge'",https://www.nytimes.com/2019/05/09/technology/amazon-childrens-privacy-echo-dot-kids.html,"Amazon barreled into the children’s smart-speaker market last year with a brightly colored device called Echo Dot Kids Edition. The tech giant played up the device as a simple way for youngsters to converse with Alexa, the company’s voice-activated virtual assistant, and obtain age-appropriate apps.",0,0,0,0,0.022222222,0,0,0,0,0
nyt://article/75da905e-5fe8-5835-8816-c0141bc3d483,2019/5/14,2019-20,"b'Attention, Amazon Shoppers: Google Wants Some of Your Spending Money'",https://www.nytimes.com/2019/05/14/technology/google-shopping-amazon-rivalry.html,"SAN FRANCISCO — For years, Google and Amazon stuck to their strengths. Google’s search monopoly and universe of online services seemed to present little overlap with Amazon’s web commerce empire.",0.066666667,0,0,0,0,0.033333333,0.033333333,0.033333333,0,0.033333333
nyt://article/216a2ce2-de11-5591-877b-5c5c27ebc343,2019/5/20,2019-21,b'Amazon Faces Investor Pressure Over Facial Recognition',https://www.nytimes.com/2019/05/20/technology/amazon-facial-recognition.html,"Facial recognition software is coming under increasing scrutiny from civil liberties groups and lawmakers. Now Amazon, one of the most visible purveyors of the technology, is facing pressure from another corner as well: its own shareholders.",0,0,0,0,0,0.027777778,0.027777778,0,0.055555556,0
nyt://article/3369bead-b851-5e57-969c-2478de018de3,2019/5/22,2019-21,b'Amazon Investors Reject Proposals on Climate Change and Facial Recognition',https://www.nytimes.com/2019/05/22/technology/amazon-climate-change-facial-recognition.html,SEATTLE — Amazon said on Wednesday that its shareholders had voted down proposals that would have pushed the company to reconsider its societal impact in two key areas: facial recognition and climate change.,0,0,0,0,0,0,0,0,0,0
nyt://article/b131be70-dfcf-5c20-8a4b-bcc489529ace,2019/6/7,2019-23,b'FedEx Says It\xe2\x80\x99s Ending Express Shipping Service for Amazon',https://www.nytimes.com/2019/06/07/business/fedex-amazon-express-delivery.html,It’s unusual when a major corporation boasts about its decision to cut back on doing business with Amazon.,0.055555556,0,0,0,0,0.111111111,0,0,0,0
nyt://article/87a9df52-0872-5518-bf09-b6c677246976,2019/6/11,2019-24,b'Amazon to End Its Restaurant Delivery Service',https://www.nytimes.com/2019/06/11/business/amazon-restaurant-delivery-service-ending.html,"With the online restaurant delivery market growing ever more competitive, Amazon is discontinuing the service it started four years ago as an alternative to popular apps like Grubhub and UberEats.",0,0,0,0,0,0.033333333,0.033333333,0,0,0
nyt://article/256f0bd8-981d-55c4-81c9-89159f4f1e10,2019/6/23,2019-25,b'What Happens After Amazon\xe2\x80\x99s Domination Is Complete? Its Bookstore Offers Clues',https://www.nytimes.com/2019/06/23/technology/amazon-domination-bookstore-books.html,"SPERRYVILLE, Va. — “The Sanford Guide to Antimicrobial Therapy” is a medical handbook that recommends the right amount of the right drug for treating ailments from bacterial pneumonia to infected wounds. Lives depend on it.",0.085714286,0,0,0,0.057142857,0.028571429,0.057142857,0,0.028571429,0
