article_id,date,week,headline,url,lead_paragraph,anticipation,sadness,joy,negative,trust,positive,surprise,disgust,anger,fear
nyt://article/3f2b5e69-b37d-5a08-9c41-6c77827173ec,2019/5/21 0:00,2019-21,b'Google Changes Abortion Ad Policy',https://www.nytimes.com/2019/05/21/business/media/google-abortion-ads.html,"Advertisers planning to run ads on Google referring to abortion services in the United States, Britain and Ireland must first get clearance from the search giant, the company said in an online post.",0.060606061,0,0.03030303,0.03030303,0.03030303,0.060606061,0.03030303,0,0.03030303,0
nyt://article/5db3d96a-9f86-5349-a335-791190aeb05e,2019/5/22 0:00,2019-21,b'Google\xe2\x80\x99s Duplex Uses A.I. to Mimic Humans (Sometimes)',https://www.nytimes.com/2019/05/22/technology/personaltech/ai-google-duplex.html,"ALBANY, Calif. — On a recent afternoon at the Lao Thai Kitchen restaurant, the telephone rang and the caller ID read “Google Assistant.” Jimmy Tran, a waiter, answered the phone. The caller was a man with an Irish accent hoping to book a dinner reservation for two on the weekend.",0,0,0,0,0,0.02,0,0,0,0
nyt://article/b2d0b574-72e1-582c-a937-747275c9b681,2019/5/30 0:00,2019-22,b'Google Should Google the Definition of \xe2\x80\x98Employee\xe2\x80\x99',https://www.nytimes.com/2019/05/29/opinion/google-contract-labor.html,"For many companies, hiring full-time employees has become a last resort, reserved for tasks that cannot be automated or outsourced or handed to an independent contractor. The goal is to keep the number of full-time employees as small as possible — and a key reason is that the government requires companies to take care of employees. Companies, in other words, are seeking to minimize the number of workers who must be treated fairly.",0,0,0,0,0.01369863,0.01369863,0,0,0.04109589,0
nyt://article/d0072e56-0c61-58e7-83a5-177db6fbaec1,2019/5/28 0:00,2019-22,b'Google\xe2\x80\x99s Shadow Work Force: Temps Who Outnumber Full-Time Employees',https://www.nytimes.com/2019/05/28/technology/google-temp-workers.html,"SAN FRANCISCO — Mindy Cruz had an offer for a full-time position at another big tech company when she accepted a temporary job as a recruiter at Google in 2017. The pay was less and the benefits were not as good, but it was one step closer to her dream of becoming a Google employee.",0.018181818,0,0,0,0,0.054545455,0.018181818,0,0,0.018181818
nyt://article/9bf8d3ed-5898-5126-be0b-b051aaac169a,2019/6/1 0:00,2019-22,b'Justice Dept. Explores Google Antitrust Case',https://www.nytimes.com/2019/05/31/business/google-antitrust-justice-department.html,"WASHINGTON — The Justice Department is exploring whether to open a case against Google for potential antitrust violations, putting renewed scrutiny on the company amid a growing chorus of criticism about the power of Big Tech, three people with knowledge of the deliberations said Friday.",0,0.022222222,0,0.044444444,0.022222222,0.044444444,0,0,0.066666667,0
nyt://article/d3fd47c2-feaa-55e8-970b-88d0fb97d9b7,2019/6/2 0:00,2019-22,"b'Google Disruptions Affect Gmail, YouTube and Other Sites'",https://www.nytimes.com/2019/06/02/technology/google-gmail-snapchat-outage.html,"Gmail, YouTube and other services that rely on Google’s technology were disrupted for several hours on Sunday by what the company said were “high levels of network congestion.”",0,0,0,0,0,0.035714286,0.035714286,0,0,0
nyt://article/48c3a06e-ccbb-5477-984e-73b16e5b46f9,2019/6/2 0:00,2019-22,b'Google and Amazon Are at the Center of a Storm Brewing Over Big Tech',https://www.nytimes.com/2019/06/02/business/google-antitrust-investigation.html,WASHINGTON — Google and Amazon have thrived as American regulators largely kept their distance. That may be changing.,0,0,0,0,0,0,0,0,0,0
nyt://article/3f229d50-c654-5c36-ab34-b055ff07cfc5,2019/6/6 0:00,2019-23,b'Google to Buy Data Analytics Company Despite New Antitrust Scrutiny',https://www.nytimes.com/2019/06/06/technology/google-data-analytics-looker-acquisition.html,"OAKLAND, Calif. — Just as government officials step up their antitrust scrutiny of the American tech giants, Google had a surprising announcement on Thursday: It is buying another company.",0,0,0,0,0.034482759,0,0.034482759,0.034482759,0.068965517,0
nyt://article/ee9db95c-b2fd-57b5-94f8-ef16c32951fa,2019/6/9 0:00,2019-23,"b'Google Made $4.7 Billion From the News Industry in 2018, Study Says'",https://www.nytimes.com/2019/06/09/business/media/google-news-industry-antitrust.html,"$4,700,000,000.00 ",0,0,0,0,0,0,0,0,0,0
nyt://interactive/30ad9d86-e146-5bd6-a959-f1dd61ed2cf1,2019/6/7 0:00,2019-23,b'The Roots of Big Tech Run Disturbingly Deep',https://www.nytimes.com/interactive/2019/06/07/opinion/google-facebook-mergers-acquisitions-antitrust.html,"Out of more than 350 mergers by Facebook or Google, none raised serious regulatory concerns. They should have.",0,0,0,0,0.055555556,0,0,0,0.055555556,0
